Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,MPG
6,250.0,78.0,3574,21.0,76,usa,18.0
4,85.0,70.0,1990,17.0,76,japan,32.0
4,97.0,75.0,2155,16.4,76,japan,28.0
6,156.0,108.0,2930,15.5,76,japan,19.0
6,168.0,120.0,3820,16.7,76,europe,16.5
8,350.0,180.0,4380,12.1,76,usa,16.5
8,350.0,145.0,4055,12.0,76,usa,13.0
4,85.0,70.0,1945,16.8,77,japan,33.5
8,305.0,145.0,3880,12.5,77,usa,17.5
8,260.0,110.0,4060,19.0,77,usa,17.0
8,302.0,130.0,4295,14.9,77,usa,15.0
6,250.0,110.0,3520,16.4,77,usa,17.5
6,225.0,100.0,3630,17.7,77,usa,19.0
8,350.0,170.0,4165,11.4,77,usa,15.5
8,400.0,190.0,4325,12.2,77,usa,15.5
4,151.0,88.0,2740,16.0,77,usa,24.5
4,97.0,75.0,2265,18.2,77,japan,26.0
4,140.0,89.0,2755,15.8,77,usa,25.5
4,97.0,67.0,1985,16.4,77,japan,30.0
4,97.0,78.0,2190,14.1,77,europe,30.5
6,146.0,97.0,2815,14.5,77,japan,22.0
4,78.0,52.0,1985,19.4,78,japan,32.8
4,91.0,60.0,1800,16.4,78,japan,36.1
8,260.0,110.0,3365,15.5,78,usa,19.9
8,318.0,140.0,3735,13.2,78,usa,19.4
6,231.0,105.0,3535,19.2,78,usa,19.2
4,140.0,88.0,2720,15.4,78,usa,25.1
6,232.0,90.0,3210,17.2,78,usa,19.4
6,225.0,110.0,3620,18.7,78,usa,18.6
8,302.0,139.0,3205,11.2,78,usa,18.1
4,134.0,95.0,2560,14.2,78,japan,27.5
4,134.0,95.0,2515,14.8,78,japan,21.1
4,121.0,115.0,2795,15.7,78,europe,21.6
6,163.0,133.0,3410,15.8,78,europe,16.2
4,98.0,68.0,2135,16.6,78,japan,29.5
6,231.0,115.0,3245,15.4,79,usa,21.5
4,140.0,88.0,2890,17.3,79,usa,22.3
6,225.0,110.0,3360,16.6,79,usa,20.6
8,351.0,138.0,3955,13.2,79,usa,16.5
8,318.0,135.0,3830,15.2,79,usa,18.2
8,350.0,155.0,4360,14.9,79,usa,16.9
8,267.0,125.0,3605,15.0,79,usa,19.2
4,89.0,71.0,1925,14.0,79,europe,31.9
4,121.0,80.0,2670,15.0,79,usa,27.4
8,350.0,125.0,3900,17.4,79,usa,23.0
4,141.0,71.0,3190,24.8,79,europe,27.2
4,105.0,70.0,2200,13.2,79,usa,34.2
4,85.0,65.0,2020,19.2,79,japan,31.8
4,91.0,69.0,2130,14.7,79,europe,37.3
6,173.0,115.0,2700,12.9,79,usa,26.8
4,98.0,76.0,2144,14.7,80,europe,41.5
4,86.0,65.0,2019,16.4,80,japan,37.2
4,151.0,90.0,2678,16.5,80,usa,28.0
6,225.0,90.0,3381,18.7,80,usa,19.1
4,119.0,92.0,2434,15.0,80,japan,37.0
4,156.0,105.0,2800,14.4,80,usa,27.9
4,85.0,65.0,2110,19.2,80,japan,40.8
4,90.0,48.0,2085,21.7,80,europe,44.3
4,146.0,67.0,3250,21.8,80,europe,30.0
4,89.0,62.0,1845,15.3,80,europe,29.8
3,70.0,100.0,2420,12.5,80,japan,23.7
4,122.0,88.0,2500,15.1,80,europe,35.0
4,135.0,84.0,2490,15.7,81,usa,27.2
4,86.0,64.0,1875,16.4,81,usa,39.0
4,81.0,60.0,1760,16.1,81,japan,35.1
4,97.0,67.0,2065,17.8,81,japan,32.3
4,91.0,68.0,1985,16.0,81,japan,34.1
4,105.0,63.0,2215,14.9,81,usa,34.7
4,98.0,65.0,2045,16.2,81,usa,34.4
4,108.0,75.0,2350,16.8,81,japan,32.4
4,119.0,100.0,2615,14.8,81,japan,32.9
4,120.0,74.0,2635,18.3,81,japan,31.6
6,145.0,76.0,3160,19.6,81,europe,30.7
6,225.0,85.0,3465,16.6,81,usa,17.6
4,112.0,88.0,2605,19.6,82,usa,28.0
4,112.0,88.0,2640,18.6,82,usa,27.0
4,112.0,88.0,2395,18.0,82,usa,34.0
4,112.0,85.0,2575,16.2,82,usa,31.0
4,135.0,84.0,2525,16.0,82,usa,29.0
4,151.0,90.0,2735,18.0,82,usa,27.0
4,140.0,92.0,2865,16.4,82,usa,24.0
4,105.0,74.0,1980,15.3,82,europe,36.0
4,91.0,68.0,1970,17.6,82,japan,31.0
4,120.0,88.0,2160,14.5,82,japan,36.0
4,91.0,67.0,1965,15.7,82,japan,32.0
4,91.0,67.0,1995,16.2,82,japan,38.0
6,181.0,110.0,2945,16.4,82,usa,25.0
6,262.0,85.0,3015,17.0,82,usa,38.0
6,232.0,112.0,2835,14.7,82,usa,22.0
4,151.0,90.0,2950,17.3,82,usa,27.0
4,140.0,86.0,2790,15.6,82,usa,27.0
4,97.0,52.0,2130,24.6,82,europe,44.0
