Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3rd,male,18.0,0,0,8.05,S,Yes
3rd,female,16.0,0,0,7.75,Q,Yes
1st,male,40.0,0,0,31.0,C,Yes
3rd,male,24.0,0,0,7.05,S,No
2nd,female,35.0,0,0,21.0,S,Yes
3rd,male,22.0,0,0,7.25,S,No
2nd,male,30.0,0,0,13.0,S,No
1st,female,31.0,1,0,113.28,C,Yes
1st,female,32.0,0,0,76.29,C,Yes
3rd,male,20.5,0,0,7.25,S,No
3rd,male,29.0,0,0,7.78,S,No
3rd,female,,0,0,7.55,S,No
2nd,male,33.0,0,0,12.28,S,No
3rd,male,30.0,0,0,7.22,C,No
2nd,female,24.0,0,2,14.5,S,Yes
3rd,male,,0,0,7.25,S,No
3rd,female,41.0,0,2,20.21,S,No
2nd,female,50.0,0,1,26.0,S,Yes
3rd,male,,0,0,7.75,Q,No
3rd,male,16.0,4,1,39.69,S,No
1st,female,63.0,1,0,77.96,S,Yes
3rd,male,65.0,0,0,7.75,Q,No
3rd,male,28.0,0,0,7.85,S,No
3rd,male,30.0,0,0,9.5,S,Yes
1st,female,26.0,0,0,78.85,S,Yes
1st,female,19.0,1,0,91.08,C,Yes
2nd,male,36.0,0,0,12.88,C,No
3rd,male,24.0,0,0,7.9,S,No
3rd,male,23.5,0,0,7.23,C,No
1st,male,,0,0,30.5,S,Yes
1st,female,50.0,0,1,247.52,C,Yes
3rd,female,,0,0,7.75,Q,Yes
3rd,male,19.0,0,0,0.0,S,No
1st,male,0.92,1,2,151.55,S,Yes
1st,female,,0,0,110.88,C,Yes
1st,female,30.0,0,0,56.93,C,Yes
1st,female,18.0,2,2,262.38,C,Yes
2nd,female,26.0,1,1,26.0,S,No
2nd,female,24.0,1,0,26.0,S,Yes
1st,female,40.0,1,1,134.5,C,Yes
3rd,male,27.0,0,0,7.9,S,No
2nd,female,22.0,1,1,29.0,S,Yes
3rd,male,61.0,0,0,6.24,S,No
2nd,female,36.0,0,0,13.0,S,Yes
1st,male,45.5,0,0,28.5,S,No
3rd,male,16.0,2,0,18.0,S,No
3rd,male,45.0,0,0,8.05,S,Yes
2nd,male,28.0,0,0,13.0,S,No
2nd,male,36.0,0,0,13.0,S,No
3rd,male,23.0,0,0,9.22,S,No
3rd,male,28.0,0,0,9.5,S,No
2nd,female,38.0,0,0,13.0,S,No
3rd,female,,0,0,7.88,Q,Yes
3rd,male,40.0,1,4,27.9,S,No
2nd,male,29.0,1,0,27.72,C,No
3rd,female,45.0,0,1,14.45,C,No
3rd,male,35.0,0,0,7.05,S,No
3rd,male,30.0,0,0,7.25,S,No
3rd,female,,0,0,7.23,C,Yes
1st,female,,1,0,82.17,C,Yes
1st,male,27.0,0,2,211.5,C,No
1st,female,42.0,0,0,227.52,C,Yes
3rd,male,32.0,0,0,7.92,S,No
3rd,male,,0,0,7.73,Q,No
1st,male,36.0,1,2,120.0,S,Yes
3rd,female,31.0,0,0,7.85,S,No
2nd,male,23.0,0,0,10.5,S,No
3rd,female,20.0,0,0,8.66,S,No
2nd,male,34.0,1,0,21.0,S,No
3rd,male,21.0,0,0,7.78,S,No
3rd,female,,3,1,25.47,S,No
1st,female,33.0,1,0,90.0,Q,Yes
2nd,female,34.0,1,1,32.5,S,Yes
2nd,female,18.0,0,2,13.0,S,Yes
3rd,male,29.0,0,0,7.88,S,No
3rd,male,18.0,1,1,20.21,S,No
3rd,male,,0,0,7.25,S,No
2nd,female,28.0,1,0,26.0,S,Yes
2nd,female,42.0,1,0,26.0,S,Yes
3rd,male,17.0,0,0,7.12,S,No
2nd,male,31.0,0,0,10.5,S,No
3rd,male,25.0,1,0,7.78,S,No
2nd,female,13.0,0,1,19.5,S,Yes
1st,male,34.0,0,0,26.55,S,Yes
3rd,female,5.0,2,1,19.26,C,Yes
1st,male,52.0,0,0,30.5,S,Yes
1st,female,,1,0,51.86,S,Yes
1st,male,47.0,0,0,38.5,S,No
3rd,male,,0,0,8.05,S,No
3rd,male,38.0,0,0,7.05,S,No
3rd,male,,0,0,7.72,Q,No
3rd,male,29.0,1,0,7.05,S,No
3rd,male,22.0,0,0,7.52,S,No
2nd,male,,0,0,0.0,S,No
3rd,male,50.0,0,0,8.05,S,No
3rd,female,63.0,0,0,9.59,S,Yes
3rd,female,,3,1,25.47,S,No
1st,female,35.0,1,0,90.0,S,Yes
1st,male,71.0,0,0,49.5,C,No
3rd,male,21.0,0,0,8.05,S,No
3rd,male,,0,0,14.46,C,No
1st,male,,0,0,26.55,S,Yes
1st,male,36.0,0,0,26.29,S,Yes
3rd,male,24.0,0,0,7.5,S,No
2nd,female,36.0,1,0,26.0,S,Yes
3rd,male,22.0,0,0,7.9,S,No
3rd,male,,0,0,7.22,C,No
1st,male,,0,0,221.78,S,No
2nd,male,23.0,2,1,11.5,S,No
3rd,male,17.0,1,1,7.23,C,No
3rd,female,,0,2,22.36,C,Yes
3rd,female,30.0,0,0,8.66,S,No
2nd,female,7.0,0,2,26.25,S,Yes
1st,male,45.0,0,0,26.55,S,No
3rd,male,,0,0,14.5,S,No
1st,female,22.0,0,2,49.5,C,Yes
3rd,female,9.0,4,2,31.28,S,No
3rd,female,11.0,4,2,31.28,S,No
1st,male,64.0,0,0,26.0,S,No
3rd,female,22.0,0,0,7.78,S,Yes
1st,male,36.0,0,0,26.39,S,Yes
3rd,female,,1,0,14.46,C,No
2nd,female,25.0,1,1,30.0,S,Yes
3rd,male,,0,0,8.71,C,No
1st,female,18.0,0,2,79.65,S,Yes
3rd,male,35.0,0,0,7.12,S,No
1st,female,52.0,1,0,78.27,C,Yes
2nd,male,37.0,1,0,26.0,S,No
3rd,male,36.0,1,1,24.15,S,No
1st,male,49.0,1,0,56.93,C,Yes
1st,male,35.0,0,0,26.55,C,Yes
3rd,male,36.0,1,0,15.55,S,No
3rd,male,,0,0,7.05,S,No
3rd,male,27.0,1,0,14.45,C,No
1st,male,42.0,1,0,52.55,S,Yes
1st,male,61.0,0,0,32.32,S,No
2nd,male,57.0,0,0,12.35,Q,No
3rd,male,,0,0,56.5,S,Yes
3rd,male,21.0,0,0,8.43,S,No
3rd,female,,0,0,7.83,Q,Yes
3rd,female,32.0,1,1,15.5,Q,No
1st,male,58.0,0,2,113.28,C,No
3rd,male,43.0,0,0,8.05,S,No
1st,female,,1,0,52.0,S,Yes
2nd,female,40.0,1,1,39.0,S,Yes
2nd,male,31.0,0,0,13.0,S,Yes
3rd,female,18.0,0,0,9.84,S,Yes
3rd,male,20.0,0,0,9.22,S,No
3rd,male,18.0,0,0,7.8,S,No
3rd,male,44.0,0,0,8.05,S,No
3rd,male,26.0,1,0,7.85,S,No
3rd,male,,1,1,15.25,C,Yes
1st,male,48.0,1,0,52.0,S,Yes
3rd,male,29.0,0,0,9.48,S,No
1st,female,38.0,0,0,227.52,C,Yes
2nd,female,6.0,0,1,33.0,S,Yes
3rd,male,17.0,1,0,7.05,S,No
2nd,male,23.0,0,0,13.0,S,No
3rd,female,48.0,1,3,34.38,S,No
3rd,male,,0,0,7.9,S,No
1st,female,21.0,2,2,262.38,C,Yes
3rd,male,23.0,0,0,7.9,S,No
3rd,male,20.0,0,0,7.23,C,Yes
3rd,female,30.5,0,0,7.75,Q,No
2nd,female,57.0,0,0,10.5,S,No
3rd,male,,0,0,7.22,C,No
3rd,female,5.0,0,0,12.48,S,Yes
3rd,male,,0,0,7.74,Q,No
1st,female,17.0,1,0,57.0,S,Yes
3rd,male,25.0,0,0,7.25,S,No
3rd,male,,0,0,7.75,Q,No
1st,male,,0,0,30.7,C,No
1st,female,49.0,0,0,25.93,S,Yes
2nd,male,34.0,0,0,13.0,S,No
1st,male,11.0,1,2,120.0,S,Yes
2nd,male,39.0,0,0,13.0,S,No
3rd,female,6.0,4,2,31.28,S,No
3rd,male,30.5,0,0,8.05,S,No
3rd,male,10.0,3,2,27.9,S,No
1st,female,52.0,1,1,93.5,S,Yes
1st,male,38.0,0,0,0.0,S,No
1st,female,62.0,0,0,80.0,,Yes
3rd,female,15.0,1,0,14.45,C,Yes
3rd,male,23.0,0,0,7.85,S,No
1st,female,39.0,1,1,83.16,C,Yes
3rd,male,,0,0,8.05,S,No
3rd,male,20.0,0,0,7.92,S,No
1st,female,30.0,0,0,31.0,C,Yes
3rd,male,34.5,0,0,6.44,C,No
3rd,male,42.0,0,0,7.55,S,No
1st,female,,1,0,89.1,C,Yes
3rd,female,9.0,1,1,15.25,C,No
1st,female,16.0,0,1,39.4,S,Yes
2nd,female,44.0,1,0,26.0,S,No
2nd,female,42.0,0,0,13.0,S,Yes
3rd,male,20.0,0,0,9.85,S,No
3rd,male,19.0,0,0,7.9,S,No
2nd,female,25.0,0,1,26.0,S,Yes
3rd,male,25.0,0,0,7.05,S,No
3rd,female,39.0,0,5,29.12,Q,No
2nd,male,27.0,0,0,13.0,S,No
1st,male,26.0,0,0,30.0,C,Yes
